"series_id","series","year","month","label","value"
CUSR0000SA0,All Items (Seas),"1947",Jan,"1947 Jan",21.48
CUSR0000SA0,All Items (Seas),"1947",Feb,"1947 Feb",21.62
CUSR0000SA0,All Items (Seas),"1947",Mar,"1947 Mar",22.0
CUSR0000SA0,All Items (Seas),"1947",Apr,"1947 Apr",22.0
CUSR0000SA0,All Items (Seas),"1947",May,"1947 May",21.95
CUSR0000SA0,All Items (Seas),"1947",Jun,"1947 Jun",22.08
CUSR0000SA0,All Items (Seas),"1947",Jul,"1947 Jul",22.23
CUSR0000SA0,All Items (Seas),"1947",Aug,"1947 Aug",22.4
CUSR0000SA0,All Items (Seas),"1947",Sep,"1947 Sep",22.84
CUSR0000SA0,All Items (Seas),"1947",Oct,"1947 Oct",22.91
CUSR0000SA0,All Items (Seas),"1947",Nov,"1947 Nov",23.06
CUSR0000SA0,All Items (Seas),"1947",Dec,"1947 Dec",23.41
CUSR0000SA0,All Items (Seas),"1948",Jan,"1948 Jan",23.68
CUSR0000SA0,All Items (Seas),"1948",Feb,"1948 Feb",23.67
CUSR0000SA0,All Items (Seas),"1948",Mar,"1948 Mar",23.5
CUSR0000SA0,All Items (Seas),"1948",Apr,"1948 Apr",23.82
CUSR0000SA0,All Items (Seas),"1948",May,"1948 May",24.01
CUSR0000SA0,All Items (Seas),"1948",Jun,"1948 Jun",24.15
CUSR0000SA0,All Items (Seas),"1948",Jul,"1948 Jul",24.4
CUSR0000SA0,All Items (Seas),"1948",Aug,"1948 Aug",24.43
CUSR0000SA0,All Items (Seas),"1948",Sep,"1948 Sep",24.36
CUSR0000SA0,All Items (Seas),"1948",Oct,"1948 Oct",24.31
CUSR0000SA0,All Items (Seas),"1948",Nov,"1948 Nov",24.16
CUSR0000SA0,All Items (Seas),"1948",Dec,"1948 Dec",24.05
CUSR0000SA0,All Items (Seas),"1949",Jan,"1949 Jan",24.01
CUSR0000SA0,All Items (Seas),"1949",Feb,"1949 Feb",23.91
CUSR0000SA0,All Items (Seas),"1949",Mar,"1949 Mar",23.91
CUSR0000SA0,All Items (Seas),"1949",Apr,"1949 Apr",23.92
CUSR0000SA0,All Items (Seas),"1949",May,"1949 May",23.91
CUSR0000SA0,All Items (Seas),"1949",Jun,"1949 Jun",23.92
CUSR0000SA0,All Items (Seas),"1949",Jul,"1949 Jul",23.7
CUSR0000SA0,All Items (Seas),"1949",Aug,"1949 Aug",23.7
CUSR0000SA0,All Items (Seas),"1949",Sep,"1949 Sep",23.75
CUSR0000SA0,All Items (Seas),"1949",Oct,"1949 Oct",23.67
CUSR0000SA0,All Items (Seas),"1949",Nov,"1949 Nov",23.7
CUSR0000SA0,All Items (Seas),"1949",Dec,"1949 Dec",23.61
CUSR0000SA0,All Items (Seas),"1950",Jan,"1950 Jan",23.51
CUSR0000SA0,All Items (Seas),"1950",Feb,"1950 Feb",23.61
CUSR0000SA0,All Items (Seas),"1950",Mar,"1950 Mar",23.64
CUSR0000SA0,All Items (Seas),"1950",Apr,"1950 Apr",23.65
CUSR0000SA0,All Items (Seas),"1950",May,"1950 May",23.77
CUSR0000SA0,All Items (Seas),"1950",Jun,"1950 Jun",23.88
CUSR0000SA0,All Items (Seas),"1950",Jul,"1950 Jul",24.07
CUSR0000SA0,All Items (Seas),"1950",Aug,"1950 Aug",24.2
CUSR0000SA0,All Items (Seas),"1950",Sep,"1950 Sep",24.34
CUSR0000SA0,All Items (Seas),"1950",Oct,"1950 Oct",24.5
CUSR0000SA0,All Items (Seas),"1950",Nov,"1950 Nov",24.6
CUSR0000SA0,All Items (Seas),"1950",Dec,"1950 Dec",24.98
CUSR0000SA0,All Items (Seas),"1951",Jan,"1951 Jan",25.38
CUSR0000SA0,All Items (Seas),"1951",Feb,"1951 Feb",25.83
