"year","quarter","observation_date","value"
"1966",Q1,"1966-01-01",320998998016
"1966",Q2,"1966-04-01",316097003520
"1966",Q3,"1966-07-01",324747984896
"1966",Q4,"1966-10-01",329318989824
"1967",Q1,"1967-01-01",330947002368
"1967",Q2,"1967-04-01",322892988416
"1967",Q3,"1967-07-01",335895986176
"1967",Q4,"1967-10-01",344662999040
"1968",Q1,"1968-01-01",349473013760
"1968",Q2,"1968-04-01",345368985600
"1968",Q3,"1968-07-01",354742992896
"1968",Q4,"1968-10-01",358029000704
"1969",Q1,"1969-01-01",359545995264
"1969",Q2,"1969-04-01",352895008768
"1969",Q3,"1969-07-01",360685010944
"1969",Q4,"1969-10-01",368226009088
"1970",Q1,"1970-01-01",372007010304
"1970",Q2,"1970-04-01",370094014464
"1970",Q3,"1970-07-01",378677985280
"1970",Q4,"1970-10-01",389158010880
"1971",Q1,"1971-01-01",391668006912
"1971",Q2,"1971-04-01",397304987648
"1971",Q3,"1971-07-01",412268003328
"1971",Q4,"1971-10-01",424131002368
"1972",Q1,"1972-01-01",427344003072
"1972",Q2,"1972-04-01",426434985984
"1972",Q3,"1972-07-01",433946001408
"1972",Q4,"1972-10-01",448473006080
"1973",Q1,"1973-01-01",458605985792
"1973",Q2,"1973-04-01",457316990976
"1973",Q3,"1973-07-01",460614008832
"1973",Q4,"1973-10-01",469073002496
"1974",Q1,"1974-01-01",473675005952
"1974",Q2,"1974-04-01",474235011072
"1974",Q3,"1974-07-01",481465991168
"1974",Q4,"1974-10-01",492663996416
"1975",Q1,"1975-01-01",509658988544
"1975",Q2,"1975-04-01",533187985408
"1975",Q3,"1975-07-01",553647013888
"1975",Q4,"1975-10-01",576648970240
"1976",Q1,"1976-01-01",600489984000
"1976",Q2,"1976-04-01",620431998976
"1976",Q3,"1976-07-01",634701021184
"1976",Q4,"1976-10-01",653543014400
"1977",Q1,"1977-01-01",669206970368
"1977",Q2,"1977-04-01",674425012224
"1977",Q3,"1977-07-01",698839990272
"1977",Q4,"1977-10-01",718943027200
"1978",Q1,"1978-01-01",737951023104
"1978",Q2,"1978-04-01",749023985664
"1978",Q3,"1978-07-01",771543990272
"1978",Q4,"1978-10-01",789206990848
"1979",Q1,"1979-01-01",796791996416
"1979",Q2,"1979-04-01",804913020928
"1979",Q3,"1979-07-01",826518994944
"1979",Q4,"1979-10-01",845116014592
"1980",Q1,"1980-01-01",863451021312
"1980",Q2,"1980-04-01",877614006272
"1980",Q3,"1980-07-01",907700994048
"1980",Q4,"1980-10-01",930209988608
"1981",Q1,"1981-01-01",964530995200
"1981",Q2,"1981-04-01",971173986304
"1981",Q3,"1981-07-01",997855002624
"1981",Q4,"1981-10-01",1028729012224
"1982",Q1,"1982-01-01",1061299027968
"1982",Q2,"1982-04-01",1079629971456
"1982",Q3,"1982-07-01",1142035054592
"1982",Q4,"1982-10-01",1197074022400
"1983",Q1,"1983-01-01",1244492988416
"1983",Q2,"1983-04-01",1319580991488
"1983",Q3,"1983-07-01",1377210990592
"1983",Q4,"1983-10-01",1410701983744
"1984",Q1,"1984-01-01",1463741054976
"1984",Q2,"1984-04-01",1512696971264
"1984",Q3,"1984-07-01",1572266967040
"1984",Q4,"1984-10-01",1662966038528
"1985",Q1,"1985-01-01",1710731034624
"1985",Q2,"1985-04-01",1774640037888
"1985",Q3,"1985-07-01",1823102992384
"1985",Q4,"1985-10-01",1945941966848
"1986",Q1,"1986-01-01",1986815983616
"1986",Q2,"1986-04-01",2059349000192
"1986",Q3,"1986-07-01",2125304037376
"1986",Q4,"1986-10-01",2214834995200
"1987",Q1,"1987-01-01",2246724026368
"1987",Q2,"1987-04-01",2309295964160
"1987",Q3,"1987-07-01",2350276935680
"1987",Q4,"1987-10-01",2431715115008
"1988",Q1,"1988-01-01",2487551000576
"1988",Q2,"1988-04-01",2547655901184
"1988",Q3,"1988-07-01",2602182901760
"1988",Q4,"1988-10-01",2684392046592
"1989",Q1,"1989-01-01",2740897972224
"1989",Q2,"1989-04-01",2799923101696
"1989",Q3,"1989-07-01",2857430941696
"1989",Q4,"1989-10-01",2952993964032
"1990",Q1,"1990-01-01",3051958042624
"1990",Q2,"1990-04-01",3143754055680
"1990",Q3,"1990-07-01",3233312931840
"1990",Q4,"1990-10-01",3364820090880
"1991",Q1,"1991-01-01",3465188999168
"1991",Q2,"1991-04-01",3537987960832
"1991",Q3,"1991-07-01",3665302913024
"1991",Q4,"1991-10-01",3801698009088
"1992",Q1,"1992-01-01",3881288073216
"1992",Q2,"1992-04-01",3984655908864
"1992",Q3,"1992-07-01",4064621101056
"1992",Q4,"1992-10-01",4177009049600
"1993",Q1,"1993-01-01",4230580011008
"1993",Q2,"1993-04-01",4351950061568
"1993",Q3,"1993-07-01",4411489255424
"1993",Q4,"1993-10-01",4535686791168
"1994",Q1,"1994-01-01",4575868747776
"1994",Q2,"1994-04-01",4645801951232
"1994",Q3,"1994-07-01",4692749844480
"1994",Q4,"1994-10-01",4800150241280
"1995",Q1,"1995-01-01",4864115998720
"1995",Q2,"1995-04-01",4951372201984
"1995",Q3,"1995-07-01",4973983170560
"1995",Q4,"1995-10-01",4988664807424
"1996",Q1,"1996-01-01",5117785931776
"1996",Q2,"1996-04-01",5161075867648
"1996",Q3,"1996-07-01",5224810938368
"1996",Q4,"1996-10-01",5323172085760
"1997",Q1,"1997-01-01",5380889903104
"1997",Q2,"1997-04-01",5376150863872
"1997",Q3,"1997-07-01",5413146198016
"1997",Q4,"1997-10-01",5502387879936
"1998",Q1,"1998-01-01",5542426181632
"1998",Q2,"1998-04-01",5547934875648
"1998",Q3,"1998-07-01",5526193176576
"1998",Q4,"1998-10-01",5614216937472
"1999",Q1,"1999-01-01",5651614924800
"1999",Q2,"1999-04-01",5638779830272
"1999",Q3,"1999-07-01",5656271126528
"1999",Q4,"1999-10-01",5776090857472
"2000",Q1,"2000-01-01",5773391822848
"2000",Q2,"2000-04-01",5685937963008
"2000",Q3,"2000-07-01",5674179231744
"2000",Q4,"2000-10-01",5662216028160
"2001",Q1,"2001-01-01",5773739950080
"2001",Q2,"2001-04-01",5726815125504
"2001",Q3,"2001-07-01",5807464251392
"2001",Q4,"2001-10-01",5943438868480
"2002",Q1,"2002-01-01",6006032039936
"2002",Q2,"2002-04-01",6126468857856
"2002",Q3,"2002-07-01",6228235780096
"2002",Q4,"2002-10-01",6405706743808
"2003",Q1,"2003-01-01",6460775858176
"2003",Q2,"2003-04-01",6670120910848
"2003",Q3,"2003-07-01",6783319932928
"2003",Q4,"2003-10-01",6997963964416
"2004",Q1,"2004-01-01",7131068104704
"2004",Q2,"2004-04-01",7274335043584
"2004",Q3,"2004-07-01",7379053182976
"2004",Q4,"2004-10-01",7596143017984
"2005",Q1,"2005-01-01",7776939016192
"2005",Q2,"2005-04-01",7836496035840
"2005",Q3,"2005-07-01",7932710223872
