"year","month","date","close","high","low","open","volume"
"2000",Aug,"2000-08-01",278.3,278.3,273.9,273.9,0
"2000",Sep,"2000-09-01",273.6,278.4,269.0,277.0,4291
"2000",Nov,"2000-11-01",270.1,270.2,263.9,263.9,32465
"2000",Dec,"2000-12-01",272.0,276.0,268.0,269.7,1664
"2001",Jan,"2001-01-01",265.6,268.4,262.8,268.4,17811
"2001",Feb,"2001-02-01",266.8,268.9,255.0,266.3,1066
"2001",Mar,"2001-03-01",257.9,271.6,256.6,265.2,31161
"2001",May,"2001-05-01",265.3,287.4,264.2,264.4,32850
"2001",Jun,"2001-06-01",270.6,277.0,264.5,264.7,1350
"2001",Aug,"2001-08-01",274.4,279.3,265.8,266.2,1817
"2001",Sep,"2001-09-01",292.4,294.0,271.6,271.6,3137
"2001",Oct,"2001-10-01",279.5,292.9,275.5,291.8,893
"2001",Nov,"2001-11-01",273.9,281.0,272.3,279.7,27949
"2001",Dec,"2001-12-01",278.7,281.3,271.2,273.5,2157
"2002",Jan,"2002-01-01",282.1,287.4,278.1,278.9,28613
"2002",Feb,"2002-02-01",296.7,308.0,282.2,282.3,3964
"2002",Mar,"2002-03-01",302.6,304.5,289.9,298.0,29465
"2002",Apr,"2002-04-01",308.9,312.5,297.5,302.6,2226
"2002",May,"2002-05-01",326.5,329.0,306.8,309.1,29743
"2002",Jun,"2002-06-01",313.5,330.3,313.5,326.6,5817
"2002",Jul,"2002-07-01",303.2,323.9,300.8,314.0,28530
"2002",Aug,"2002-08-01",312.4,318.0,298.0,303.2,3256
"2002",Oct,"2002-10-01",318.0,322.9,309.8,322.0,3849
"2002",Nov,"2002-11-01",316.8,324.5,316.5,318.8,54551
"2003",Jan,"2003-01-01",368.3,372.0,345.2,346.1,8298
"2003",Feb,"2003-02-01",350.2,388.9,342.0,368.0,6928
"2003",Mar,"2003-03-01",335.9,356.8,326.0,349.2,6100
"2003",Apr,"2003-04-01",339.1,338.4,319.3,336.0,3097
"2003",May,"2003-05-01",364.5,370.0,339.0,339.0,164025
"2003",Jul,"2003-07-01",354.0,364.8,342.1,351.4,86330
"2003",Aug,"2003-08-01",375.7,375.0,346.0,354.1,5743
"2003",Sep,"2003-09-01",385.4,388.7,372.9,375.0,16207
"2003",Oct,"2003-10-01",384.5,394.0,368.0,385.5,3594
"2003",Nov,"2003-11-01",396.8,402.0,377.0,382.8,165003
"2003",Dec,"2003-12-01",415.7,417.2,397.0,397.2,10267
"2004",Jan,"2004-01-01",402.2,428.2,396.5,415.7,132663
"2004",Mar,"2004-03-01",427.3,428.0,391.1,396.4,105746
"2004",Apr,"2004-04-01",387.0,432.0,380.0,427.2,6579
"2004",May,"2004-05-01",394.0,396.3,375.8,387.0,144835
"2004",Jun,"2004-06-01",392.6,405.0,383.0,393.9,6207
"2004",Jul,"2004-07-01",391.0,408.1,385.0,396.0,116575
"2004",Sep,"2004-09-01",418.7,418.8,396.8,407.3,16144
"2004",Oct,"2004-10-01",428.5,430.0,410.3,419.1,2646
"2004",Nov,"2004-11-01",451.3,454.8,424.6,427.3,183608
"2004",Dec,"2004-12-01",437.5,456.5,432.6,451.6,12728
"2005",Jan,"2005-01-01",421.8,431.0,418.7,431.0,115342
"2005",Feb,"2005-02-01",436.5,436.0,410.1,422.2,8468
"2005",Mar,"2005-03-01",428.7,446.4,424.7,435.0,3171
"2005",Apr,"2005-04-01",435.0,438.2,422.7,428.3,2579
"2005",Jun,"2005-06-01",435.9,442.5,414.0,416.4,6950
"2005",Jul,"2005-07-01",429.9,430.5,419.6,427.8,44574
"2005",Aug,"2005-08-01",433.8,449.5,429.1,430.0,3085
"2005",Sep,"2005-09-01",469.0,474.0,438.5,438.5,11805
"2005",Oct,"2005-10-01",465.1,478.5,460.5,467.8,2106
"2005",Nov,"2005-11-01",494.6,502.3,455.3,463.0,157642
"2005",Dec,"2005-12-01",517.1,538.5,490.1,494.2,12240
"2006",Feb,"2006-02-01",561.6,575.3,535.5,570.8,10165
"2006",Mar,"2006-03-01",581.8,589.6,539.9,562.5,94801
"2006",Apr,"2006-04-01",651.8,651.8,582.0,582.0,8121
"2006",May,"2006-05-01",642.5,723.0,637.0,658.0,137161
"2006",Jun,"2006-06-01",613.5,645.1,555.0,642.8,6197
"2006",Jul,"2006-07-01",634.2,677.0,612.7,631.0,99344
"2006",Aug,"2006-08-01",625.9,656.0,609.0,635.4,4608
"2006",Sep,"2006-09-01",598.6,638.5,576.4,624.4,17592
"2006",Nov,"2006-11-01",646.9,648.0,612.5,612.5,114115
"2006",Dec,"2006-12-01",635.2,649.7,612.0,645.7,3823
"2007",Jan,"2007-01-01",652.0,655.5,607.0,635.2,101525
"2007",Feb,"2007-02-01",669.4,687.7,642.0,652.9,3981
"2007",Mar,"2007-03-01",663.0,673.0,640.0,673.0,52996
"2007",May,"2007-05-01",661.0,688.0,651.0,673.7,158741
"2007",Jun,"2007-06-01",648.1,674.0,640.0,661.5,4027
"2007",Aug,"2007-08-01",673.0,676.2,642.9,663.2,8547
"2007",Sep,"2007-09-01",742.8,745.7,672.5,672.5,27393
"2007",Oct,"2007-10-01",792.0,795.4,724.3,745.1,2720
"2007",Nov,"2007-11-01",782.2,841.3,777.6,785.3,239351
"2007",Dec,"2007-12-01",834.9,843.2,777.0,783.9,7681
"2008",Jan,"2008-01-01",922.7,936.3,846.4,848.7,231851
"2008",Feb,"2008-02-01",972.1,973.1,884.7,924.8,8233
"2008",Mar,"2008-03-01",916.2,1014.6,912.0,984.2,216432
"2008",Apr,"2008-04-01",862.8,948.7,863.0,915.0,13006
"2008",May,"2008-05-01",887.3,925.6,849.6,855.0,221797
"2008",Jul,"2008-07-01",913.9,986.2,893.3,943.6,250610
"2008",Aug,"2008-08-01",829.3,916.1,780.9,904.9,9253
"2008",Sep,"2008-09-01",874.2,919.0,739.0,829.9,18800
"2008",Oct,"2008-10-01",716.8,925.7,681.0,878.0,3365
"2008",Nov,"2008-11-01",816.2,824.0,707.0,728.8,377779
"2008",Dec,"2008-12-01",883.6,883.6,740.0,817.2,9599
"2009",Jan,"2009-01-01",927.3,930.3,805.6,881.5,215420
"2009",Apr,"2009-04-01",890.7,932.5,865.0,918.6,17300
"2009",May,"2009-05-01",978.8,980.4,881.5,884.0,234559
"2009",Jun,"2009-06-01",927.1,990.3,917.3,978.8,12773
"2009",Jul,"2009-07-01",953.7,958.1,905.6,929.3,177420
"2009",Aug,"2009-08-01",951.7,971.1,931.5,952.6,7492
"2009",Sep,"2009-09-01",1008.0,1019.8,948.7,954.2,15642
"2009",Oct,"2009-10-01",1039.7,1070.2,986.8,1007.4,3699
"2009",Dec,"2009-12-01",1095.2,1226.4,1075.0,1181.0,24177
"2010",Jan,"2010-01-01",1083.0,1161.2,1073.2,1117.7,320664
"2010",Feb,"2010-02-01",1118.3,1127.4,1045.2,1081.0,18209
"2010",Mar,"2010-03-01",1113.3,1145.0,1085.5,1119.3,222583
