"year","month","date","close","high","low","open","volume"
"1985",Jan,"1985-01-01",278.7,278.9,245.8,247.1,"1782060000"
"1985",Feb,"1985-02-01",284.2,289.3,277.9,277.9,"1742850000"
"1985",Mar,"1985-03-01",279.2,287.8,275.6,285.1,"1611310000"
"1985",Apr,"1985-04-01",280.6,284.8,276.2,279.5,"1506450000"
"1985",May,"1985-05-01",290.8,294.8,278.8,280.5,"1673270000"
"1985",Jun,"1985-06-01",296.2,296.2,286.7,291.4,"1582580000"
"1985",Jul,"1985-07-01",301.3,307.9,295.5,295.9,"1769440000"
"1985",Aug,"1985-08-01",297.7,304.6,295.1,302.6,"1636000000"
"1985",Sep,"1985-09-01",280.3,297.7,279.5,297.3,"1334990000"
"1985",Oct,"1985-10-01",292.5,292.8,276.6,280.6,"1858340000"
"1985",Nov,"1985-11-01",314.0,314.0,292.5,293.0,"1840880000"
"1985",Dec,"1985-12-01",324.9,325.6,312.3,313.9,"2212020000"
"1986",Jan,"1986-01-01",335.8,335.8,322.1,325.0,"2410850000"
"1986",Feb,"1986-02-01",359.5,359.8,335.8,336.1,"2345500000"
"1986",Mar,"1986-03-01",374.7,374.7,359.1,360.0,"2595900000"
"1986",Apr,"1986-04-01",383.2,393.0,368.0,375.8,"2814600000"
"1986",May,"1986-05-01",400.2,400.4,381.5,383.2,"2412320000"
"1986",Jun,"1986-06-01",405.5,405.5,391.8,400.7,"2569400000"
"1986",Jul,"1986-07-01",371.4,411.3,369.1,407.0,"2411040000"
"1986",Aug,"1986-08-01",382.9,383.2,364.4,372.5,"2101540000"
"1986",Sep,"1986-09-01",350.7,384.0,342.3,382.8,"2203180000"
"1986",Oct,"1986-10-01",360.8,361.6,351.2,352.5,"2152890000"
"1986",Nov,"1986-11-01",359.6,362.5,349.1,361.0,"2074770000"
"1986",Dec,"1986-12-01",348.8,364.7,347.0,357.4,"2608890000"
"1987",Jan,"1987-01-01",392.1,396.2,348.8,351.3,"3184620000"
"1987",Feb,"1987-02-01",425.0,425.0,392.0,393.8,"3029700000"
"1987",Mar,"1987-03-01",430.1,440.0,422.9,425.0,"3305000000"
"1987",Apr,"1987-04-01",417.8,439.2,407.4,426.3,"3027000000"
"1987",May,"1987-05-01",416.5,424.8,404.5,418.6,"2783700000"
"1987",Jun,"1987-06-01",424.7,429.9,413.5,415.5,"3274900000"
"1987",Jul,"1987-07-01",434.9,434.9,423.7,424.5,"3379500000"
"1987",Aug,"1987-08-01",455.0,455.8,431.2,433.3,"3136000000"
"1987",Sep,"1987-09-01",444.3,456.3,434.9,455.5,"3092900000"
"1987",Oct,"1987-10-01",323.3,453.7,288.5,446.2,"4074200000"
"1987",Nov,"1987-11-01",305.2,328.8,301.6,325.4,"2497350000"
"1987",Dec,"1987-12-01",330.5,333.2,291.9,306.4,"2943710000"
