"year","month","date","close","high","low","open","volume"
"1987",Sep,"1987-09-01",170.81,170.95,166.69,167.44,"2627700000"
"1987",Oct,"1987-10-01",118.26,172.62,105.46,170.82,"6094500000"
"1987",Nov,"1987-11-01",111.7,122.05,110.56,118.27,"3589520000"
"1987",Dec,"1987-12-01",120.42,121.59,106.16,111.69,"3926750000"
"1988",Jan,"1988-01-01",125.24,128.19,120.43,120.43,"3494700000"
"1988",Feb,"1988-02-01",136.1,137.69,124.94,125.24,"3693240000"
"1988",Mar,"1988-03-01",142.15,143.38,136.07,136.1,"4052970000"
"1988",Apr,"1988-04-01",145.01,145.46,139.57,142.14,"3260760000"
"1988",May,"1988-05-01",141.37,145.53,136.29,145.01,"3231370000"
"1988",Jun,"1988-06-01",151.3,151.3,141.37,141.37,"4306710000"
"1988",Jul,"1988-07-01",149.89,151.7,148.41,151.29,"3338470000"
"1988",Aug,"1988-08-01",145.74,150.88,143.8,149.88,"3327470000"
"1988",Sep,"1988-09-01",149.09,149.09,144.29,145.74,"3059450000"
"1988",Oct,"1988-10-01",147.25,149.19,146.51,149.09,"3415150000"
"1988",Nov,"1988-11-01",142.01,147.28,139.49,147.26,"2822820000"
"1988",Dec,"1988-12-01",147.37,147.37,141.93,142.02,"2844900000"
"1989",Jan,"1989-01-01",153.85,153.85,146.33,147.36,"3532220000"
"1989",Feb,"1989-02-01",154.56,157.27,153.62,153.84,"3216280000"
"1989",Mar,"1989-03-01",157.9,159.28,154.56,154.56,"3504530000"
"1989",Apr,"1989-04-01",164.68,164.69,157.74,157.89,"3237250000"
"1989",May,"1989-05-01",171.53,171.53,163.93,164.68,"3747320000"
"1989",Jun,"1989-06-01",167.42,173.5,166.11,171.53,"3966590000"
"1989",Jul,"1989-07-01",174.5,174.5,167.16,167.44,"3249030000"
"1989",Aug,"1989-08-01",178.2,178.2,173.87,174.51,"3949100000"
"1989",Sep,"1989-09-01",178.21,179.47,175.69,178.21,"3035020000"
"1989",Oct,"1989-10-01",167.47,180.95,165.61,178.21,"4012670000"
"1989",Nov,"1989-11-01",168.17,169.99,165.27,167.46,"3032160000"
"1989",Dec,"1989-12-01",168.31,169.06,162.5,168.19,"3213420000"
"1990",Jan,"1990-01-01",153.27,170.8,152.44,168.31,"3793250000"
"1990",Feb,"1990-02-01",157.72,160.35,153.27,153.27,"2961970000"
"1990",Mar,"1990-03-01",163.63,164.84,157.39,157.71,"3283280000"
"1990",Apr,"1990-04-01",158.09,163.67,157.41,163.63,"2801220000"
"1990",May,"1990-05-01",168.91,169.11,158.09,158.09,"3596680000"
"1990",Jun,"1990-06-01",169.12,171.08,166.53,168.91,"3226280000"
"1990",Jul,"1990-07-01",161.51,170.47,161.22,169.12,"3370320000"
"1990",Aug,"1990-08-01",139.51,161.65,132.74,161.5,"4014260000"
"1990",Sep,"1990-09-01",126.7,141.02,124.45,139.5,"2685400000"
"1990",Oct,"1990-10-01",118.83,129.96,118.51,126.74,"3670600000"
"1990",Nov,"1990-11-01",127.51,127.52,118.45,118.85,"3148240000"
"1990",Dec,"1990-12-01",132.2,132.77,127.5,127.5,"3116710000"
"1991",Jan,"1991-01-01",144.17,144.17,124.52,132.19,"3659100000"
"1991",Feb,"1991-02-01",160.0,160.01,144.09,144.15,"4297640000"
"1991",Mar,"1991-03-01",171.01,171.01,159.32,160.0,"3926860000"
"1991",Apr,"1991-04-01",170.61,178.79,169.71,171.02,"4015890000"
"1991",May,"1991-05-01",178.34,178.34,169.19,170.59,"3747420000"
"1991",Jun,"1991-06-01",167.61,178.94,166.66,178.33,"3243080000"
"1991",Jul,"1991-07-01",172.76,172.97,166.18,167.62,"3466100000"
"1991",Aug,"1991-08-01",179.11,179.11,166.49,172.76,"3749110000"
"1991",Sep,"1991-09-01",180.16,180.16,175.29,179.09,"3241630000"
"1991",Oct,"1991-10-01",185.0,185.0,175.61,180.15,"4066550000"
"1991",Nov,"1991-11-01",176.37,188.34,174.89,184.97,"3718510000"
"1991",Dec,"1991-12-01",189.94,189.94,174.43,176.37,"4148300000"
"1992",Jan,"1992-01-01",205.16,206.01,187.92,189.95,"5245110000"
"1992",Feb,"1992-02-01",211.15,213.0,205.16,205.16,"4243890000"
"1992",Mar,"1992-03-01",203.7,212.26,202.32,211.17,"4047510000"
"1992",Apr,"1992-04-01",196.26,203.7,191.06,203.7,"4302390000"
"1992",May,"1992-05-01",198.52,200.84,190.85,196.27,"3626650000"
"1992",Jun,"1992-06-01",188.58,200.21,185.73,198.52,"4209090000"
"1992",Jul,"1992-07-01",194.74,194.75,185.32,188.57,"4250080000"
"1992",Aug,"1992-08-01",188.79,195.86,186.01,194.73,"3642730000"
"1992",Sep,"1992-09-01",192.91,194.73,188.53,188.82,"3996530000"
"1992",Oct,"1992-10-01",198.91,198.91,183.4,192.91,"4470560000"
"1992",Nov,"1992-11-01",213.81,213.81,198.6,198.91,"4133760000"
"1992",Dec,"1992-12-01",221.01,221.01,212.56,213.81,"4829060000"
"1993",Jan,"1993-01-01",228.1,230.69,219.2,221.02,"5252750000"
"1993",Feb,"1993-02-01",222.41,232.45,216.43,228.09,"5357080000"
"1993",Mar,"1993-03-01",229.21,230.8,222.25,222.41,"5663860000"
"1993",Apr,"1993-04-01",222.68,229.29,218.4,229.21,"5781330000"
"1993",May,"1993-05-01",232.19,232.93,222.37,222.68,"5097190000"
"1993",Jun,"1993-06-01",233.35,234.33,226.52,232.19,"5528060000"
"1993",Jul,"1993-07-01",236.46,237.91,233.02,233.35,"5291510000"
"1993",Aug,"1993-08-01",246.17,246.17,236.34,236.42,"5484630000"
"1993",Sep,"1993-09-01",252.95,252.95,242.15,246.19,"5532330000"
"1993",Oct,"1993-10-01",259.18,260.41,252.3,252.95,"5941070000"
"1993",Nov,"1993-11-01",250.41,260.17,246.66,259.18,"5887230000"
"1993",Dec,"1993-12-01",258.59,258.59,249.33,250.41,"5791630000"
"1994",Jan,"1994-01-01",266.52,266.73,256.03,258.58,"6630060000"
"1994",Feb,"1994-02-01",265.53,267.75,258.81,266.52,"5852020000"
"1994",Mar,"1994-03-01",251.06,271.08,247.88,265.53,"7249580000"
"1994",Apr,"1994-04-01",252.55,256.01,241.95,251.06,"5734030000"
"1994",May,"1994-05-01",249.28,255.0,242.39,252.55,"5677520000"
"1994",Jun,"1994-06-01",240.29,253.39,238.22,249.28,"5849830000"
"1994",Jul,"1994-07-01",244.06,245.98,239.91,240.3,"4978990000"
"1994",Aug,"1994-08-01",257.32,257.32,241.78,241.78,"6405540000"
"1994",Sep,"1994-09-01",256.12,260.29,252.32,257.32,"6157520000"
"1994",Oct,"1994-10-01",255.02,256.44,247.97,256.12,"6350900000"
"1994",Nov,"1994-11-01",244.25,255.04,238.9,255.02,"6263410000"
"1994",Dec,"1994-12-01",250.36,250.36,233.89,244.25,"6353990000"
"1995",Jan,"1995-01-01",246.85,253.13,246.38,250.36,"6859170000"
"1995",Feb,"1995-02-01",256.57,257.5,246.85,246.85,"6336530000"
"1995",Mar,"1995-03-01",260.77,261.55,253.69,256.57,"7835090000"
"1995",Apr,"1995-04-01",266.17,266.18,259.62,260.6,"6310910000"
"1995",May,"1995-05-01",270.25,273.85,264.59,266.2,"7560450000"
"1995",Jun,"1995-06-01",283.63,284.4,270.23,270.25,"7553110000"
"1995",Jul,"1995-07-01",299.72,299.72,283.19,283.63,"7303150000"
"1995",Aug,"1995-08-01",305.31,305.51,295.21,299.73,"7148810000"
"1995",Sep,"1995-09-01",310.38,316.98,303.89,305.31,"7052830000"
"1995",Oct,"1995-10-01",296.25,310.38,291.26,310.38,"8047490000"
"1995",Nov,"1995-11-01",308.58,308.58,295.68,296.25,"7608370000"
"1995",Dec,"1995-12-01",315.97,316.01,303.38,308.58,"7699480000"
"1996",Jan,"1996-01-01",315.38,316.89,299.45,315.97,"9188050000"
"1996",Feb,"1996-02-01",324.93,326.45,315.19,315.38,"8763020000"
"1996",Mar,"1996-03-01",330.77,331.52,318.33,324.93,"8984200000"
"1996",Apr,"1996-04-01",348.28,348.58,328.33,330.77,"8876670000"
"1996",May,"1996-05-01",361.85,364.96,341.34,348.28,"8921140000"
"1996",Jun,"1996-06-01",346.61,364.34,339.28,361.85,"7928700000"
"1996",Jul,"1996-07-01",316.0,347.83,303.04,346.61,"8215250000"
"1996",Aug,"1996-08-01",333.88,335.62,316.0,316.0,"7380330000"
"1996",Sep,"1996-09-01",346.39,346.54,330.42,333.88,"8069760000"
"1996",Oct,"1996-10-01",340.57,350.43,337.71,346.39,"9709340000"
"1996",Nov,"1996-11-01",354.11,354.29,338.9,340.57,"8907810000"
"1996",Dec,"1996-12-01",362.61,362.61,348.45,354.11,"9089170000"
"1997",Jan,"1997-01-01",369.45,373.17,357.61,362.61,"11633910000"
"1997",Feb,"1997-02-01",360.05,370.65,358.41,369.45,"9718460000"
