"year","month","date","close","high","low","open","volume"
"1985",Jan,"1985-01-01",179.63,180.27,163.36,167.2,"2673710000"
"1985",Feb,"1985-02-01",181.18,183.95,177.75,179.63,"2194620000"
"1985",Mar,"1985-03-01",180.66,183.89,176.53,181.18,"2153090000"
"1985",Apr,"1985-04-01",179.83,183.61,177.86,180.66,"1981880000"
"1985",May,"1985-05-01",189.55,189.98,178.35,179.83,"2350340000"
"1985",Jun,"1985-06-01",191.85,191.85,185.03,189.55,"2117000000"
"1985",Jul,"1985-07-01",190.92,196.07,189.3,191.85,"2463070000"
"1985",Aug,"1985-08-01",188.63,192.17,186.1,190.92,"1923200000"
"1985",Sep,"1985-09-01",182.08,188.8,179.45,188.63,"1860160000"
"1985",Oct,"1985-10-01",189.82,190.15,181.16,182.06,"2543240000"
"1985",Nov,"1985-11-01",202.17,203.4,189.37,189.82,"2445370000"
"1985",Dec,"1985-12-01",211.28,213.08,200.1,202.17,"2804380000"
"1986",Jan,"1986-01-01",211.78,214.57,202.6,211.28,"2879010000"
"1986",Feb,"1986-02-01",226.92,227.92,210.82,211.78,"2899100000"
"1986",Mar,"1986-03-01",238.9,240.11,222.18,226.92,"3214600000"
"1986",Apr,"1986-04-01",235.52,245.47,226.3,238.9,"3240400000"
"1986",May,"1986-05-01",247.35,249.19,232.26,235.52,"2680240000"
"1986",Jun,"1986-06-01",250.84,251.81,238.23,246.04,"2649600000"
"1986",Jul,"1986-07-01",236.12,253.2,233.07,250.67,"3029900000"
"1986",Aug,"1986-08-01",252.93,254.24,231.92,236.12,"2701900000"
"1986",Sep,"1986-09-01",231.32,254.13,228.08,252.93,"3166300000"
"1986",Oct,"1986-10-01",243.98,244.51,231.32,231.32,"3016740000"
"1986",Nov,"1986-11-01",249.22,249.22,235.51,243.97,"2940830000"
"1986",Dec,"1986-12-01",242.17,254.87,241.28,249.22,"3260870000"
"1987",Jan,"1987-01-01",274.08,280.96,242.17,242.17,"4040880000"
"1987",Feb,"1987-02-01",284.2,287.55,273.16,274.08,"3485300000"
"1987",Mar,"1987-03-01",291.7,302.72,282.3,284.17,"3965100000"
"1987",Apr,"1987-04-01",288.36,303.65,275.67,291.59,"3931700000"
"1987",May,"1987-05-01",290.1,298.69,277.01,286.99,"3417700000"
"1987",Jun,"1987-06-01",304.0,310.27,286.93,290.12,"3595000000"
"1987",Jul,"1987-07-01",318.66,318.85,302.53,303.99,"3966400000"
"1987",Aug,"1987-08-01",329.8,337.89,314.51,318.62,"4062400000"
"1987",Sep,"1987-09-01",321.83,332.18,308.56,329.81,"3723200000"
"1987",Oct,"1987-10-01",251.79,328.94,216.46,321.83,"6094500000"
"1987",Nov,"1987-11-01",230.3,257.21,225.75,251.73,"3589530000"
"1987",Dec,"1987-12-01",247.08,253.35,221.24,230.32,"3926750000"
"1988",Jan,"1988-01-01",257.07,261.78,240.17,247.1,"3494700000"
"1988",Feb,"1988-02-01",267.82,267.82,247.82,257.05,"3693240000"
"1988",Mar,"1988-03-01",258.89,272.64,256.07,267.82,"4052970000"
"1988",Apr,"1988-04-01",261.33,272.05,254.71,258.89,"3260760000"
"1988",May,"1988-05-01",262.16,263.7,248.85,261.36,"3231370000"
"1988",Jun,"1988-06-01",273.5,276.88,262.1,262.16,"4306710000"
"1988",Jul,"1988-07-01",272.02,276.36,262.48,273.5,"3338470000"
"1988",Aug,"1988-08-01",261.52,274.2,256.53,272.03,"3327470000"
"1988",Sep,"1988-09-01",271.91,274.87,256.98,261.52,"3059450000"
"1988",Oct,"1988-10-01",278.97,283.95,268.84,271.89,"3415160000"
"1988",Nov,"1988-11-01",273.7,280.37,262.85,278.97,"2822820000"
"1988",Dec,"1988-12-01",277.72,280.45,270.47,273.68,"2844900000"
"1989",Jan,"1989-01-01",297.47,297.51,273.81,277.72,"3532220000"
"1989",Feb,"1989-02-01",288.86,300.57,286.26,297.47,"3216280000"
"1989",Mar,"1989-03-01",294.87,299.99,286.46,288.86,"3504530000"
