series_id,year,period,label,value
APU0000701111,1980,M01,1980 Jan,0.203
APU0000701111,1980,M02,1980 Feb,0.205
APU0000701111,1980,M03,1980 Mar,0.211
APU0000701111,1980,M04,1980 Apr,0.206
APU0000701111,1980,M05,1980 May,0.207
APU0000701111,1980,M06,1980 Jun,0.21
APU0000701111,1980,M07,1980 Jul,0.214
APU0000701111,1980,M08,1980 Aug,0.215
APU0000701111,1980,M09,1980 Sep,0.214
APU0000701111,1980,M10,1980 Oct,0.212
APU0000701111,1980,M11,1980 Nov,0.211
APU0000701111,1980,M12,1980 Dec,0.211
APU0000701111,1981,M01,1981 Jan,0.217
APU0000701111,1981,M02,1981 Feb,0.222
APU0000701111,1981,M03,1981 Mar,0.224
APU0000701111,1981,M04,1981 Apr,0.225
APU0000701111,1981,M05,1981 May,0.227
APU0000701111,1981,M06,1981 Jun,0.228
APU0000701111,1981,M07,1981 Jul,0.228
APU0000701111,1981,M08,1981 Aug,0.23
APU0000701111,1981,M09,1981 Sep,0.225
APU0000701111,1981,M10,1981 Oct,0.226
APU0000701111,1981,M11,1981 Nov,0.221
APU0000701111,1981,M12,1981 Dec,0.218
APU0000701111,1982,M01,1982 Jan,0.224
APU0000701111,1982,M02,1982 Feb,0.226
APU0000701111,1982,M03,1982 Mar,0.223
APU0000701111,1982,M04,1982 Apr,0.22
APU0000701111,1982,M05,1982 May,0.228
APU0000701111,1982,M06,1982 Jun,0.227
APU0000701111,1982,M07,1982 Jul,0.232
APU0000701111,1982,M08,1982 Aug,0.227
APU0000701111,1982,M09,1982 Sep,0.223
APU0000701111,1982,M10,1982 Oct,0.221
APU0000701111,1982,M11,1982 Nov,0.216
APU0000701111,1982,M12,1982 Dec,0.216
APU0000701111,1983,M01,1983 Jan,0.217
APU0000701111,1983,M02,1983 Feb,0.214
APU0000701111,1983,M03,1983 Mar,0.211
APU0000701111,1983,M04,1983 Apr,0.213
APU0000701111,1983,M05,1983 May,0.216
APU0000701111,1983,M06,1983 Jun,0.223
APU0000701111,1983,M07,1983 Jul,0.223
APU0000701111,1983,M08,1983 Aug,0.227
APU0000701111,1983,M09,1983 Sep,0.223
APU0000701111,1983,M10,1983 Oct,0.219
APU0000701111,1983,M11,1983 Nov,0.217
APU0000701111,1983,M12,1983 Dec,0.211
APU0000701111,1984,M01,1984 Jan,0.213
APU0000701111,1984,M02,1984 Feb,0.216
APU0000701111,1984,M03,1984 Mar,0.216
APU0000701111,1984,M04,1984 Apr,0.215
APU0000701111,1984,M05,1984 May,0.215
APU0000701111,1984,M06,1984 Jun,0.217
APU0000701111,1984,M07,1984 Jul,0.219
APU0000701111,1984,M08,1984 Aug,0.215
APU0000701111,1984,M09,1984 Sep,0.212
APU0000701111,1984,M10,1984 Oct,0.211
APU0000701111,1984,M11,1984 Nov,0.208
APU0000701111,1984,M12,1984 Dec,0.204
APU0000701111,1985,M01,1985 Jan,0.212
APU0000701111,1985,M02,1985 Feb,0.213
APU0000701111,1985,M03,1985 Mar,0.212
APU0000701111,1985,M04,1985 Apr,0.211
APU0000701111,1985,M05,1985 May,0.215
APU0000701111,1985,M06,1985 Jun,0.216
APU0000701111,1985,M07,1985 Jul,0.216
APU0000701111,1985,M08,1985 Aug,0.216
APU0000701111,1985,M09,1985 Sep,0.212
APU0000701111,1985,M10,1985 Oct,0.211
APU0000701111,1985,M11,1985 Nov,0.207
APU0000701111,1985,M12,1985 Dec,0.202
APU0000701111,1986,M01,1986 Jan,0.207
APU0000701111,1986,M02,1986 Feb,0.209
APU0000701111,1986,M03,1986 Mar,0.208
APU0000701111,1986,M04,1986 Apr,0.206
APU0000701111,1986,M05,1986 May,0.211
APU0000701111,1986,M06,1986 Jun,0.214
APU0000701111,1986,M07,1986 Jul,0.214
APU0000701111,1986,M08,1986 Aug,0.215
APU0000701111,1986,M09,1986 Sep,0.211
APU0000701111,1986,M10,1986 Oct,0.208
APU0000701111,1986,M11,1986 Nov,0.2
APU0000701111,1986,M12,1986 Dec,0.198
APU0000701111,1987,M01,1987 Jan,0.202
APU0000701111,1987,M02,1987 Feb,0.211
APU0000701111,1987,M03,1987 Mar,0.202
APU0000701111,1987,M04,1987 Apr,0.202
APU0000701111,1987,M05,1987 May,0.208
APU0000701111,1987,M06,1987 Jun,0.208
APU0000701111,1987,M07,1987 Jul,0.213
APU0000701111,1987,M08,1987 Aug,0.211
APU0000701111,1987,M09,1987 Sep,0.207
