date,close,high,low,open,volume
2017-12-01,14470,20650,12265,20650,8387
2018-01-01,10000,16845,9225,13955,22716
2018-02-01,10645,11760,5970,10020,23756
2018-03-01,7389.910156,11700,7345,10450,49470
2018-05-01,7545,9840,7050,9285,80338
2018-06-01,5885.879883,7900,5805,7550,56977
2018-08-01,6925.560059,7760,5850,7695,115853
2018-09-01,6647.799805,7410,6035,7305,56354
2018-10-01,6295,6770,6030,6560,50636
2018-11-01,3953,6545,3515,6295,113117
2018-12-01,3650,4265,3120,4090,72126
2019-01-01,3395,4095,3300,3720,82257
2019-02-01,3790,3985,3310,3385,92265
2019-03-01,4079.360107,4100,3655,3785,67674
2019-04-01,5230,5665,4040,4090,193182
2019-05-01,8414.179688,9125,5250,5250,276012
2019-06-01,11763.79004,13915,7435,8730,142786
2019-07-01,10115,13480,9095,11505,132168
2019-08-01,9583.959961,12505,9305,10160,86163
2019-10-01,9305,10050,7245,8360,82618
2019-11-01,7775.689941,9790,6510,9230,90733
2020-01-01,9277.629883,9570,6860,7225,208779
2020-02-01,8662.990234,10670,8430,9495,175388
2020-04-01,8930,9560,6155,6455,104713
2020-05-01,9443.429688,10220,8220,8850,144817
2020-06-01,9185,10565,8930,9530,109535
2020-07-01,11207.50977,11540,8950,9200,125950
2020-08-01,11835,12635,11115,11350,172448
2020-09-01,10770,12200,9850,11755,173283
2020-10-01,13478.62988,13870,10410,10835,130528
2020-12-01,29385,29700,17575,19800,198047
2021-01-01,37242.30078,42730,28440,33405,252985
2021-02-01,47001.62891,57790,32530,33315,186982
2021-03-01,59285,61255,45150,45500,177349
2021-04-01,56127.48828,65520,47395,59580,151893
2021-05-01,36841.35156,59900,30205,56985,188604
2021-06-01,34725,41335,28800,35905,147222
2021-07-01,39020.92188,40940,29215,34765,118955
2021-09-01,43615,53125,40085,46940,125362
2021-10-01,61149.26172,67680,43330,43735,190852
2021-11-01,57780,69355,53625,61995,159527
2021-12-01,47977.03125,59545,45415,57660,131364
2022-01-01,38485,47660,32855,47120,149909
2022-02-01,42000,45905,34295,38450,141283
2022-03-01,45735,48475,37180,43100,143199
2022-04-01,38997.33984,47610,37665,45865,116056
2022-06-01,18760,32020,18525,31700,220826
2022-07-01,24082.44922,24490,18630,18700,194704
2022-08-01,20065,25270,19345,23655,179704
2022-09-01,19698.59961,22875,18085,20130,230502
2022-10-01,20380,21055,17810,19190,228135
2022-11-01,17080,21400,14925,20430,240297
2022-12-01,16498.08008,18420,16055,17190,123593
2023-02-01,23410,25345,21380,23335,188755
2023-03-01,28476.5,29220,19520,23275,237476
2023-04-01,29177.4707,31200,26980,28540,144510
2023-05-01,27075,29910,25805,29615,178522
2023-06-01,30128.50977,31655,24745,27185,214992
2023-07-01,29285,32165,28810,30850,165421
2023-08-01,26240,30275,25585,29400,190874
2023-09-01,26869.68945,27620,24925,26070,144210
2023-11-01,38190,39250,34310,34865,229129
2023-12-01,42679.73828,45260,38045,38150,181400
2024-01-01,42815,49435,38540,43965,283735
2024-02-01,62760,64990,42100,42930,217553
2024-03-01,71296.17188,74415,60120,62005,255080
2024-04-01,59400,73380,59300,71500,224665
2024-05-01,67633.72656,72360,56910,60345,188178
2024-06-01,61024.23047,72660,58410,68200,171196
2024-07-01,65685,70825,53635,62085,220878
2024-08-01,59165.64063,66065,49365,65365,250529
2024-10-01,70465,74485,58945,64040,231714
2024-11-01,98339.75781,100170,67140,70885,314150
2025-01-01,105260.3984,110150,89525,95270,311183
2025-02-01,83592.75,102875,78330,98445,258719
2025-03-01,82710,95705,76735,95000,221674
2025-04-01,94695,96470,74635,82805,242371
,,,,,
