date,close,high,low,open,volume
2000-08-01,278.2999878,278.2999878,273.8999939,273.8999939,0
2000-09-01,273.6000061,278.3999939,269,277,4291
2000-11-01,270.1000061,270.2000122,263.8999939,263.8999939,32465
2000-12-01,272,276,268,269.7000122,1664
2001-01-01,265.6000061,268.3999939,262.7999878,268.3999939,17811
2001-02-01,266.7999878,268.8999939,255,266.2999878,1066
2001-03-01,257.8999939,271.6000061,256.6000061,265.2000122,31161
2001-05-01,265.2999878,287.3999939,264.2000122,264.3999939,32850
2001-06-01,270.6000061,277,264.5,264.7000122,1350
2001-08-01,274.3999939,279.2999878,265.7999878,266.2000122,1817
2001-09-01,292.3999939,294,271.6000061,271.6000061,3137
2001-10-01,279.5,292.8999939,275.5,291.7999878,893
2001-11-01,273.8999939,281,272.2999878,279.7000122,27949
2001-12-01,278.7000122,281.2999878,271.2000122,273.5,2157
2002-01-01,282.1000061,287.3999939,278.1000061,278.8999939,28613
2002-02-01,296.7000122,308,282.2000122,282.2999878,3964
2002-03-01,302.6000061,304.5,289.8999939,298,29465
2002-04-01,308.8999939,312.5,297.5,302.6000061,2226
2002-05-01,326.5,329,306.7999878,309.1000061,29743
2002-06-01,313.5,330.2999878,313.5,326.6000061,5817
2002-07-01,303.2000122,323.8999939,300.7999878,314,28530
2002-08-01,312.3999939,318,298,303.2000122,3256
2002-10-01,318,322.8999939,309.7999878,322,3849
2002-11-01,316.7999878,324.5,316.5,318.7999878,54551
2003-01-01,368.2999878,372,345.2000122,346.1000061,8298
2003-02-01,350.2000122,388.8999939,342,368,6928
2003-03-01,335.8999939,356.7999878,326,349.2000122,6100
2003-04-01,339.1000061,338.3999939,319.2999878,336,3097
2003-05-01,364.5,370,339,339,164025
2003-07-01,354,364.7999878,342.1000061,351.3999939,86330
2003-08-01,375.7000122,375,346,354.1000061,5743
2003-09-01,385.3999939,388.7000122,372.8999939,375,16207
2003-10-01,384.5,394,368,385.5,3594
2003-11-01,396.7999878,402,377,382.7999878,165003
2003-12-01,415.7000122,417.2000122,397,397.2000122,10267
2004-01-01,402.2000122,428.2000122,396.5,415.7000122,132663
2004-03-01,427.2999878,428,391.1000061,396.3999939,105746
2004-04-01,387,432,380,427.2000122,6579
2004-05-01,394,396.2999878,375.7999878,387,144835
2004-06-01,392.6000061,405,383,393.8999939,6207
2004-07-01,391,408.1000061,385,396,116575
2004-09-01,418.7000122,418.7999878,396.7999878,407.2999878,16144
2004-10-01,428.5,430,410.2999878,419.1000061,2646
2004-11-01,451.2999878,454.7999878,424.6000061,427.2999878,183608
2004-12-01,437.5,456.5,432.6000061,451.6000061,12728
2005-01-01,421.7999878,431,418.7000122,431,115342
2005-02-01,436.5,436,410.1000061,422.2000122,8468
2005-03-01,428.7000122,446.3999939,424.7000122,435,3171
2005-04-01,435,438.2000122,422.7000122,428.2999878,2579
2005-06-01,435.8999939,442.5,414,416.3999939,6950
2005-07-01,429.8999939,430.5,419.6000061,427.7999878,44574
2005-08-01,433.7999878,449.5,429.1000061,430,3085
2005-09-01,469,474,438.5,438.5,11805
2005-10-01,465.1000061,478.5,460.5,467.7999878,2106
2005-11-01,494.6000061,502.2999878,455.2999878,463,157642
2005-12-01,517.0999756,538.5,490.1000061,494.2000122,12240
2006-02-01,561.5999756,575.2999878,535.5,570.7999878,10165
2006-03-01,581.7999878,589.5999756,539.9000244,562.5,94801
2006-04-01,651.7999878,651.7999878,582,582,8121
2006-05-01,642.5,723,637,658,137161
2006-06-01,613.5,645.0999756,555,642.7999878,6197
2006-07-01,634.2000122,677,612.7000122,631,99344
2006-08-01,625.9000244,656,609,635.4000244,4608
2006-09-01,598.5999756,638.5,576.4000244,624.4000244,17592
2006-11-01,646.9000244,648,612.5,612.5,114115
2006-12-01,635.2000122,649.7000122,612,645.7000122,3823
2007-01-01,652,655.5,607,635.2000122,101525
2007-02-01,669.4000244,687.7000122,642,652.9000244,3981
2007-03-01,663,673,640,673,52996
2007-05-01,661,688,651,673.7000122,158741
2007-06-01,648.0999756,674,640,661.5,4027
2007-08-01,673,676.2000122,642.9000244,663.2000122,8547
2007-09-01,742.7999878,745.7000122,672.5,672.5,27393
2007-10-01,792,795.4000244,724.2999878,745.0999756,2720
2007-11-01,782.2000122,841.2999878,777.5999756,785.2999878,239351
2007-12-01,834.9000244,843.2000122,777,783.9000244,7681
2008-01-01,922.7000122,936.2999878,846.4000244,848.7000122,231851
2008-02-01,972.0999756,973.0999756,884.7000122,924.7999878,8233
2008-03-01,916.2000122,1014.599976,912,984.2000122,216432
2008-04-01,862.7999878,948.7000122,863,915,13006
2008-05-01,887.2999878,925.5999756,849.5999756,855,221797
2008-07-01,913.9000244,986.2000122,893.2999878,943.5999756,250610
2008-08-01,829.2999878,916.0999756,780.9000244,904.9000244,9253
2008-09-01,874.2000122,919,739,829.9000244,18800
2008-10-01,716.7999878,925.7000122,681,878,3365
2008-11-01,816.2000122,824,707,728.7999878,377779
2008-12-01,883.5999756,883.5999756,740,817.2000122,9599
2009-01-01,927.2999878,930.2999878,805.5999756,881.5,215420
2009-04-01,890.7000122,932.5,865,918.5999756,17300
2009-05-01,978.7999878,980.4000244,881.5,884,234559
2009-06-01,927.0999756,990.2999878,917.2999878,978.7999878,12773
2009-07-01,953.7000122,958.0999756,905.5999756,929.2999878,177420
2009-08-01,951.7000122,971.0999756,931.5,952.5999756,7492
2009-09-01,1008,1019.799988,948.7000122,954.2000122,15642
2009-10-01,1039.699951,1070.199951,986.7999878,1007.400024,3699
2009-12-01,1095.199951,1226.400024,1075,1181,24177
2010-01-01,1083,1161.199951,1073.199951,1117.699951,320664
2010-02-01,1118.300049,1127.400024,1045.199951,1081,18209
2010-03-01,1113.300049,1145,1085.5,1119.300049,222583
2010-04-01,1180.099976,1181.300049,1111.300049,1125.099976,10917
2010-05-01,1212.199951,1246.5,1159.199951,1178.599976,361661
2010-06-01,1245.5,1264.800049,1196.900024,1224.800049,16703
2010-07-01,1181.699951,1242.400024,1158,1206.300049,267525
2010-09-01,1307.800049,1315.199951,1240,1246.300049,33200
2010-10-01,1357.099976,1383.900024,1309,1309,3190
2010-11-01,1385,1423.199951,1327.5,1360.300049,245327
2010-12-01,1421.099976,1431.099976,1362.5,1386.800049,16511
2011-01-01,1333.800049,1423.900024,1307.699951,1415.599976,299379
2011-02-01,1409.300049,1415.699951,1324.900024,1333.099976,14468
2011-03-01,1438.900024,1446.900024,1385.5,1415.300049,194338
2011-04-01,1556,1568.699951,1413,1433.400024,15801
2011-06-01,1502.300049,1558.5,1490.699951,1535.699951,15027
2011-07-01,1628.300049,1634.900024,1480,1502.199951,309932
2011-08-01,1828.5,1909.300049,1607,1623,25647
2011-09-01,1620.400024,1911.599976,1562.400024,1825.800049,31848
2011-10-01,1724.199951,1752,1596.599976,1627.800049,2715
2011-11-01,1745.5,1798.400024,1674.400024,1706.699951,257009
2011-12-01,1565.800049,1762.900024,1525,1747,11311
2012-02-01,1709.900024,1790.400024,1669,1738.199951,9587
2012-03-01,1669.300049,1724.599976,1633.800049,1698.599976,254540
2012-05-01,1562.599976,1670.5,1528.5,1665,345507
2012-06-01,1603.5,1639.699951,1545.5,1560,11162
2012-08-01,1684.599976,1690,1583.099976,1613.400024,11783
2012-09-01,1771.099976,1785.300049,1687.699951,1689.099976,25557
2012-10-01,1717.5,1794.800049,1698.599976,1766,2741
2012-11-01,1710.900024,1751.300049,1674.099976,1722.300049,345777
2012-12-01,1674.800049,1722.300049,1635.800049,1714.900024,7061
2013-01-01,1660.599976,1694.699951,1625.699951,1672.800049,197723
2013-02-01,1577.699951,1683.400024,1555.199951,1663.900024,11784
2013-03-01,1594.800049,1613.800049,1561.800049,1579.599976,223847
2013-04-01,1472.199951,1602.599976,1323,1596.800049,14648
2013-05-01,1392.599976,1487.099976,1342.900024,1475.800049,222108
2013-06-01,1223.800049,1422.699951,1183.199951,1389.099976,12739
2013-07-01,1312.400024,1343.5,1208.900024,1234.699951,186170
2013-08-01,1396.099976,1428,1274,1323,10507
2013-10-01,1323.599976,1359.699951,1254.099976,1328,2723
2013-11-01,1250.599976,1325.699951,1229,1325.699951,270667
2014-01-01,1240.099976,1269.400024,1204.300049,1204.300049,189701
2014-02-01,1321.400024,1343.900024,1241.199951,1242.400024,11943
2014-03-01,1283.400024,1391.400024,1282.400024,1335.900024,255794
2014-04-01,1295.599976,1330,1272.400024,1285.099976,8265
2014-05-01,1245.599976,1314.199951,1241.800049,1288.699951,211143
2014-07-01,1281.300049,1343.699951,1280.599976,1326.699951,224607
2014-08-01,1285.800049,1321.400024,1272,1284.099976,9633
2014-09-01,1210.5,1286.400024,1204,1284.5,27705
2014-10-01,1171.099976,1251,1161.400024,1207.699951,4510
2014-11-01,1175.199951,1202.400024,1133,1166.400024,299410
2014-12-01,1183.900024,1238,1141.699951,1160,11140
2015-01-01,1278.5,1303.5,1169.5,1184,258615
2015-04-01,1182.400024,1224.199951,1174.599976,1182.900024,7838
2015-05-01,1189.400024,1228.099976,1170,1178.099976,258123
2015-06-01,1171.5,1204,1164,1190.599976,6252
2015-07-01,1094.900024,1173.099976,1078.599976,1173.099976,216892
2015-08-01,1131.599976,1169,1080.5,1095.5,13251
2015-09-01,1115.5,1155.900024,1098.199951,1133.5,9119
